entrez,symbol,pubmed_id,type,organ_system,primary_site,cancer_type,method,coding_status,cgc_annotation,vogelstein_annotation,saito_annotation,NCG_oncogene,NCG_tsg,driver_type
91,ACVR1B,30718927,WGS-WES,Core gastrointestinal,esophagus,esophageal_adenocarcinoma,"dNdScv, ActiveDriverWGS, MutSig2CV, OncodriveFM, OncodriveClust, eDriver, eDriver3D",coding,,TSG,,0.0,1.0,cancer
91,ACVR1B,26804919,WES,Core gastrointestinal,small_intestine,ampullary_adenocarcinoma,MutSig,coding,,TSG,,0.0,1.0,cancer
91,ACVR1B,28667006,WGS-WES-Gene Panel,Developmental gastrointestinal,hepatobiliary,cholangiocarcinoma,"MutSigCV, IntOGen",coding,,TSG,,0.0,1.0,cancer
91,ACVR1B,20668451,Gene Panel,Gynecologic,breast,breast_cancer,Wood-based,coding,,TSG,,0.0,1.0,cancer
91,ACVR1B,24132290,Pan-cancer,Multiple,multiple,pan-cancer_adult,MuSiC,coding,,TSG,,0.0,1.0,cancer
91,ACVR1B,24390350,Pan-cancer,Multiple,multiple,pan-cancer_adult,MutSig,coding,,TSG,,0.0,1.0,cancer
91,ACVR1B,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,,TSG,,0.0,1.0,cancer
91,ACVR1B,32025015,WGS,Multiple,multiple,pan-cancer_adult,"ActiveDriverWGS, CompositeDriver, DriverPower, dNdScv, ExInAtor, LARVA, MutSig, NBR, ncdDetect, ncDriver, OncodriveFML, regDriver",coding,,TSG,,0.0,1.0,cancer
91,ACVR1B,23539594,Canonical Cancer Driver,Multiple,multiple,,-,,,TSG,,0.0,1.0,cancer
91,ACVR1B,26806338,WES-Gene Panel,Core gastrointestinal,small_intestine,ampullary_adenocarcinoma,Recurrence-based,coding,,TSG,,0.0,1.0,cancer
92,ACVR2A,26909576,WGS,Developmental gastrointestinal,pancreas,pancreatic_cancer_(all_histologies),"HOTNET2, OncodriveFM, MutSig",coding,TSG,,,0.0,1.0,cancer
92,ACVR2A,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,TSG,,,0.0,1.0,cancer
92,ACVR2A,29622464,WES,Gynecologic,pan-gynecological and breast,pan-gynecological and breast,"MutSigCV, 20/20",coding,TSG,,,0.0,1.0,cancer
92,ACVR2A,22810696,WES,Core gastrointestinal,colorectal,colorectal_adenocarcinoma,MutSig,coding,TSG,,,0.0,1.0,cancer
92,ACVR2A,30718927,WGS-WES,Core gastrointestinal,esophagus,esophageal_adenocarcinoma,"dNdScv, ActiveDriverWGS, MutSig2CV, OncodriveFM, OncodriveClust, eDriver, eDriver3D",coding,TSG,,,0.0,1.0,cancer
92,ACVR2A,27064257,WGS,Developmental gastrointestinal,hepatobiliary,"hepatocellular_carcinoma, cholangiocarcinoma",Literature-based,coding,TSG,,,0.0,1.0,cancer
92,ACVR2A,27064257,WGS,Developmental gastrointestinal,hepatobiliary,"hepatocellular_carcinoma, cholangiocarcinoma",Literature-based,coding,TSG,,,0.0,1.0,cancer
92,ACVR2A,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,TSG,,,0.0,1.0,cancer
92,ACVR2A,27149842,WES,Core gastrointestinal,colorectal,colorectal_adenocarcinoma,MutSig,coding,TSG,,,0.0,1.0,cancer
92,ACVR2A,29945994,WES,Core gastrointestinal,stomach,gastric_adenocarcinoma,Recurrence-based,coding,TSG,,,0.0,1.0,cancer
92,ACVR2A,28667006,WGS-WES-Gene Panel,Developmental gastrointestinal,hepatobiliary,cholangiocarcinoma,"MutSigCV, IntOGen",coding,TSG,,,0.0,1.0,cancer
92,ACVR2A,24132290,Pan-cancer,Multiple,multiple,pan-cancer_adult,MuSiC,coding,TSG,,,0.0,1.0,cancer
92,ACVR2A,32025015,WGS,Multiple,multiple,pan-cancer_adult,"ActiveDriverWGS, CompositeDriver, DriverPower, dNdScv, ExInAtor, LARVA, MutSig, NBR, ncdDetect, ncDriver, OncodriveFML, regDriver",coding,TSG,,,0.0,1.0,cancer
92,ACVR2A,25822088,WES,Developmental gastrointestinal,hepatobiliary,hepatocellular_carcinoma,MutSig,coding,TSG,,,0.0,1.0,cancer
92,ACVR2A,28622513,WES,Developmental gastrointestinal,hepatobiliary,hepatocellular_carcinoma,"MutSig, Recurrence-based",coding,TSG,,,0.0,1.0,cancer
92,ACVR2A,25362482,WES,Developmental gastrointestinal,hepatobiliary,hepatocellular_carcinoma,MutSig,coding,TSG,,,0.0,1.0,cancer
92,ACVR2A,22037554,WES,Core gastrointestinal,stomach,gastric_adenocarcinoma,Wood-based,coding,TSG,,,0.0,1.0,cancer
92,ACVR2A,24816253,WGS,Core gastrointestinal,stomach,gastric_adenocarcinoma,Youn-based,coding,TSG,,,0.0,1.0,cancer
92,ACVR2A,26806338,WES-Gene Panel,Core gastrointestinal,small_intestine,ampullary_adenocarcinoma,Recurrence-based,coding,TSG,,,0.0,1.0,cancer
93,ACVR2B,24390350,Pan-cancer,Multiple,multiple,pan-cancer_adult,MutSig,coding,,,,,,cancer
102,ADAM10,22343534,WES,Hematologic and lymphatic,blood,diffuse_large_B-cell_lymphoma,MutSig,coding,,,,,,cancer
102,ADAM10,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,,,,,,cancer
107,ADCY1,22941189,WES,Thoracic,lung,small_cell_lung_cancer,Wood-based,coding,,,,,,cancer
108,ADCY2,29354286,WGS,Multiple,multiple,pan-cancer_adult,ncDriver,noncoding,,,,,,cancer
109,ADCY3,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,,,,,,cancer
111,ADCY5,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,,,,,,cancer
114,ADCY8,21798893,WES,Head and neck,head_and_neck,squamous_head_and_neck_cancer,MutSig,coding,,,,,,cancer
119,ADD2,27149842,WES,Core gastrointestinal,colorectal,colorectal_adenocarcinoma,MutSig,coding,,,,,,cancer
119,ADD2,28362259,WGS,Multiple,multiple,pan-cancer_adult,ncdDetect,noncoding,,,,,,cancer
120,ADD3,29489755,Pan-cancer,Multiple,multiple,pan-cancer_paediatric,"GRIN, MutSig",coding,,,,,,cancer
125,ADH1B,25362482,WES,Developmental gastrointestinal,hepatobiliary,hepatocellular_carcinoma,MutSig,coding,,,,,,cancer
143,PARP4,26451490,WES,Gynecologic,breast,breast_cancer,MutSig,coding,,,,,,cancer
147,ADRA1B,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,,,,,,cancer
148,ADRA1A,27064257,WGS,Developmental gastrointestinal,hepatobiliary,"hepatocellular_carcinoma, cholangiocarcinoma",Literature-based,coding,,,,,,cancer
155,ADRB3,28362259,WGS,Multiple,multiple,pan-cancer_adult,ncdDetect,noncoding,,,,,,cancer
160,AP2A1,28362259,WGS,Multiple,multiple,pan-cancer_adult,ncdDetect,noncoding,,,,,,cancer
162,AP1B1,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,,,,,,cancer
173,AFM,24120142,WES,Soft tissue,brain,glioblastoma,"InVEx, MutSig",coding,,,,,,cancer
176,ACAN,26824661,WGS-WES,Soft tissue,brain,pan-glioma,MutSig,coding,,,,,,cancer
182,JAG1,25730765,WGS,Hematologic and lymphatic,blood,acute_lymphocytic_leukemia,Recurrence-based,coding,,,,,,cancer
182,JAG1,26909576,WGS,Developmental gastrointestinal,pancreas,pancreatic_cancer_(all_histologies),"HOTNET2, OncodriveFM, MutSig",coding,,,,,,cancer
182,JAG1,25501392,Pan-cancer,Multiple,multiple,pan-cancer_adult,HOTNET2,coding,,,,,,cancer
186,AGTR2,27161491,Gene Panel,Gynecologic,breast,breast_cancer,Recurrence-based,coding,,,,,,cancer
187,APLNR,20668451,Gene Panel,Thoracic,lung,lung_cancer_(all_histologies),Wood-based,coding,,,,,,cancer
207,AKT1,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
207,AKT1,22722202,WES,Gynecologic,breast,breast_cancer,MutSig,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
207,AKT1,22610119,WES,Urologic,prostate,prostate_cancer,MutSig,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
207,AKT1,24633157,WGS-WES-Gene Panel,Soft tissue,soft_tissue,angiosarcoma,Greenman-based,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
207,AKT1,29622464,WES,Gynecologic,pan-gynecological and breast,pan-gynecological and breast,"MutSigCV, 20/20",coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
207,AKT1,23000897,WES,Gynecologic,breast,breast_cancer,MuSiC,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
207,AKT1,26451490,WES,Gynecologic,breast,breast_cancer,MutSig,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
207,AKT1,23348505,WES,Soft tissue,brain,meningioma,Recurrence-based,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
207,AKT1,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
207,AKT1,27348297,WES,Gynecologic,uterus,endometrial_cancer,MutSig,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
207,AKT1,20668451,Gene Panel,Gynecologic,breast,breast_cancer,Wood-based,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
207,AKT1,24132290,Pan-cancer,Multiple,multiple,pan-cancer_adult,MuSiC,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
207,AKT1,24390350,Pan-cancer,Multiple,multiple,pan-cancer_adult,MutSig,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
207,AKT1,28027327,WES,Gynecologic,breast,breast_cancer,MutSig,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
207,AKT1,29489755,Pan-cancer,Multiple,multiple,pan-cancer_paediatric,"GRIN, MutSig",coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
207,AKT1,27135926,WGS,Gynecologic,breast,breast_cancer,Paper-specific,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
207,AKT1,27161491,Gene Panel,Gynecologic,breast,breast_cancer,Recurrence-based,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
207,AKT1,32025015,WGS,Multiple,multiple,pan-cancer_adult,"ActiveDriverWGS, CompositeDriver, DriverPower, dNdScv, ExInAtor, LARVA, MutSig, NBR, ncdDetect, ncDriver, OncodriveFML, regDriver",coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
207,AKT1,26000489,WES,Urologic,prostate,prostate_cancer,MutSig,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
207,AKT1,32494066,Canonical Cancer Driver,Multiple,multiple,,,,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
207,AKT1,22722201,WES,Gynecologic,breast,breast_cancer,Greenman-based,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
207,AKT1,26544944,WGS-WES,Urologic,prostate,prostate_cancer,MutSig,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
207,AKT1,28452984,WES,Hematologic and lymphatic,blood,chronic_myeloid_leukemia,"Recurrence-based, Literature-based",coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
207,AKT1,23539594,Canonical Cancer Driver,Multiple,multiple,,-,,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
207,AKT1,26939876,Gene Panel,Gynecologic,breast,triple_negative_breast_cancer,"Recurrence-based, Paper-specific",coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
207,AKT1,26099045,WGS,Gynecologic,breast,breast_cancer,"Recurrence-based, Literature-based",coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
208,AKT2,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,oncogene,,Oncogene,1.0,0.0,cancer
208,AKT2,23619167,WES,Head and neck,head_and_neck,squamous_head_and_neck_cancer,Paper-specific,coding,oncogene,,Oncogene,1.0,0.0,cancer
208,AKT2,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,oncogene,,Oncogene,1.0,0.0,cancer
208,AKT2,27135926,WGS,Gynecologic,breast,breast_cancer,Paper-specific,coding,oncogene,,Oncogene,1.0,0.0,cancer
208,AKT2,32494066,Canonical Cancer Driver,Multiple,multiple,,,,oncogene,,Oncogene,1.0,0.0,cancer
208,AKT2,22722201,WES,Gynecologic,breast,breast_cancer,Greenman-based,coding,oncogene,,Oncogene,1.0,0.0,cancer
208,AKT2,26099045,WGS,Gynecologic,breast,breast_cancer,"Recurrence-based, Literature-based",coding,oncogene,,Oncogene,1.0,0.0,cancer
213,ALB,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,,,,,,cancer
213,ALB,28297679,WES,Developmental gastrointestinal,hepatobiliary,cholangiocarcinoma,MutSig,coding,,,,,,cancer
213,ALB,22634756,WGS,Developmental gastrointestinal,hepatobiliary,hepatocellular_carcinoma,Paper-specific,coding,,,,,,cancer
213,ALB,27064257,WGS,Developmental gastrointestinal,hepatobiliary,"hepatocellular_carcinoma, cholangiocarcinoma",Literature-based,coding,,,,,,cancer
213,ALB,27064257,WGS,Developmental gastrointestinal,hepatobiliary,"hepatocellular_carcinoma, cholangiocarcinoma",Literature-based,coding,,,,,,cancer
213,ALB,29354286,WGS,Multiple,multiple,pan-cancer_adult,ncDriver,noncoding,,,,,,cancer
213,ALB,32025015,WGS,Multiple,multiple,pan-cancer_adult,"ActiveDriverWGS, CompositeDriver, DriverPower, dNdScv, ExInAtor, LARVA, MutSig, NBR, ncdDetect, ncDriver, OncodriveFML, regDriver",noncoding,,,,,,cancer
213,ALB,32025015,WGS,Multiple,multiple,pan-cancer_adult,"ActiveDriverWGS, CompositeDriver, DriverPower, dNdScv, ExInAtor, LARVA, MutSig, NBR, ncdDetect, ncDriver, OncodriveFML, regDriver",coding,,,,,,cancer
213,ALB,25822088,WES,Developmental gastrointestinal,hepatobiliary,hepatocellular_carcinoma,MutSig,coding,,,,,,cancer
213,ALB,32024818,WGS,Multiple,multiple,pan-cancer_adult,DriverPower,noncoding,,,,,,cancer
213,ALB,28622513,WES,Developmental gastrointestinal,hepatobiliary,hepatocellular_carcinoma,"MutSig, Recurrence-based",coding,,,,,,cancer
215,ABCD1,26824661,WGS-WES,Soft tissue,brain,pan-glioma,MutSig,coding,,,,,,cancer
226,ALDOA,28658208,WES,Gynecologic,breast,breast_cancer,MutSigNC,noncoding,,,,,,cancer
238,ALK,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,"oncogene, fusion",Oncogene,Oncogene,1.0,0.0,cancer
238,ALK,26121087,WGS,Soft tissue,peripheral_nervous_system,neuroblastoma,Paper-specific,coding,"oncogene, fusion",Oncogene,Oncogene,1.0,0.0,cancer
238,ALK,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,"oncogene, fusion",Oncogene,Oncogene,1.0,0.0,cancer
238,ALK,29489754,Pan-cancer,Multiple,multiple,pan-cancer_paediatric,MuSiC,coding,"oncogene, fusion",Oncogene,Oncogene,1.0,0.0,cancer
238,ALK,27009842,WES,Soft tissue,peripheral_nervous_system,neuroblastoma,Paper-specific,coding,"oncogene, fusion",Oncogene,Oncogene,1.0,0.0,cancer
238,ALK,24390350,Pan-cancer,Multiple,multiple,pan-cancer_adult,MutSig,coding,"oncogene, fusion",Oncogene,Oncogene,1.0,0.0,cancer
238,ALK,29489755,Pan-cancer,Multiple,multiple,pan-cancer_paediatric,"GRIN, MutSig",coding,"oncogene, fusion",Oncogene,Oncogene,1.0,0.0,cancer
238,ALK,24974848,WES,Hematologic and lymphatic,thymus,thymic_carcinoma,Recurrence-based,coding,"oncogene, fusion",Oncogene,Oncogene,1.0,0.0,cancer
238,ALK,23334666,WES,Soft tissue,peripheral_nervous_system,neuroblastoma,MutSig,coding,"oncogene, fusion",Oncogene,Oncogene,1.0,0.0,cancer
238,ALK,32494066,Canonical Cancer Driver,Multiple,multiple,,,,"oncogene, fusion",Oncogene,Oncogene,1.0,0.0,cancer
238,ALK,23202128,WES,Soft tissue,peripheral_nervous_system,neuroblastoma,Recurrence-based,coding,"oncogene, fusion",Oncogene,Oncogene,1.0,0.0,cancer
238,ALK,23539594,Canonical Cancer Driver,Multiple,multiple,,-,,"oncogene, fusion",Oncogene,Oncogene,1.0,0.0,cancer
238,ALK,26939876,Gene Panel,Gynecologic,breast,triple_negative_breast_cancer,"Recurrence-based, Paper-specific",coding,"oncogene, fusion",Oncogene,Oncogene,1.0,0.0,cancer
238,ALK,24755198,WES-Gene Panel,Skin,skin,melanoma,Recurrence-based,coding,"oncogene, fusion",Oncogene,Oncogene,1.0,0.0,cancer
239,ALOX12,21430775,WGS-WES,Hematologic and lymphatic,blood,multiple_myeloma,MutSig,coding,,,,,,cancer
242,ALOX12B,28362259,WGS,Multiple,multiple,pan-cancer_adult,ncdDetect,noncoding,,,,,,cancer
273,AMPH,22922871,WES,Developmental gastrointestinal,hepatobiliary,hepatocellular_carcinoma,Paper-specific,coding,,,,,,cancer
280,AMY2B,23636398,WES,Gynecologic,uterus,endometrial_cancer,MuSiC,coding,,,,,,cancer
283,ANG,31954095,WGS,Multiple,multiple,pan-cancer_adult,ActiveDriverWGS,noncoding,,,,,,cancer
284,ANGPT1,21499247,WES,Skin,skin,melanoma,Paper-specific,coding,,,,,,cancer
286,ANK1,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,,,,0.0,0.0,cancer
287,ANK2,21822268,WES,Urologic,bladder,bladder_cancer,"Wood-based, Recurrence-based",coding,,,,,,cancer
287,ANK2,24121792,WES,Urologic,bladder,bladder_cancer,Wood-based,coding,,,,,,cancer
287,ANK2,26625313,WES,Urologic,bladder,bladder_cancer,MutSig,coding,,,,,,cancer
288,ANK3,21822268,WES,Urologic,bladder,bladder_cancer,"Wood-based, Recurrence-based",coding,,,,,,cancer
288,ANK3,24121792,WES,Urologic,bladder,bladder_cancer,Wood-based,coding,,,,,,cancer
288,ANK3,24390350,Pan-cancer,Multiple,multiple,pan-cancer_adult,MutSig,coding,,,,,,cancer
288,ANK3,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,,,,,,cancer
288,ANK3,26121086,WES,Soft tissue,peripheral_nervous_system,neuroblastoma,Recurrence-based,coding,,,,,,cancer
288,ANK3,26625313,WES,Urologic,bladder,bladder_cancer,MutSig,coding,,,,,,cancer
290,ANPEP,25351205,WGS-WES,Urologic,kidney,clear_cell_renal_cancer,MuSiC,coding,,,,,,cancer
302,ANXA2,28362259,WGS,Multiple,multiple,pan-cancer_adult,ncdDetect,noncoding,,,,,,cancer
316,AOX1,26824661,WGS-WES,Soft tissue,brain,pan-glioma,MutSig,coding,,,,,,cancer
324,APC,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,22610119,WES,Urologic,prostate,prostate_cancer,MutSig,coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,21892161,WGS,Core gastrointestinal,colorectal,colorectal_adenocarcinoma,MutSig,coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,27158780,WES,Thoracic,lung,lung_cancer_(all_histologies),MutSig,coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,22810696,WES,Core gastrointestinal,colorectal,colorectal_adenocarcinoma,MutSig,coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,22810696,WES,Core gastrointestinal,colorectal,colorectal_adenocarcinoma,MutSig,coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,25079317,WES,Core gastrointestinal,stomach,gastric_adenocarcinoma,MutSig,coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,24700472,WES,Endocrine,adrenal_gland,adrenocortical_adenoma,"MutSig, Recurrence-based",coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,18948947,Gene Panel,Thoracic,lung,lung_adenocarcinoma,MuSiC,coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,28297679,WES,Developmental gastrointestinal,hepatobiliary,cholangiocarcinoma,MutSig,coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,30718927,WGS-WES,Core gastrointestinal,esophagus,esophageal_adenocarcinoma,"dNdScv, ActiveDriverWGS, MutSig2CV, OncodriveFM, OncodriveClust, eDriver, eDriver3D",coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,27149842,WES,Core gastrointestinal,colorectal,colorectal_adenocarcinoma,MutSig,coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,26804919,WES,Core gastrointestinal,small_intestine,ampullary_adenocarcinoma,MutSig,coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,22722839,WES,Urologic,prostate,prostate_cancer,Paper-specific,coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,29945994,WES,Core gastrointestinal,stomach,gastric_adenocarcinoma,Recurrence-based,coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,28667006,WGS-WES-Gene Panel,Developmental gastrointestinal,hepatobiliary,cholangiocarcinoma,"MutSigCV, IntOGen",coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,24132290,Pan-cancer,Multiple,multiple,pan-cancer_adult,MuSiC,coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,24390350,Pan-cancer,Multiple,multiple,pan-cancer_adult,MutSig,coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,22327622,Gene Panel,Core gastrointestinal,colorectal,colorectal_adenocarcinoma,Recurrence-based,coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,29622466,WES,Core gastrointestinal,pan-gastric,pan-gastric,MutSig2CV,coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,27135926,WGS,Gynecologic,breast,breast_cancer,Paper-specific,coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,32025015,WGS,Multiple,multiple,pan-cancer_adult,"ActiveDriverWGS, CompositeDriver, DriverPower, dNdScv, ExInAtor, LARVA, MutSig, NBR, ncdDetect, ncDriver, OncodriveFML, regDriver",coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,26000489,WES,Urologic,prostate,prostate_cancer,MutSig,coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,32494066,Canonical Cancer Driver,Multiple,multiple,,,,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,22895193,WES,Core gastrointestinal,colorectal,colorectal_adenocarcinoma,Wood-based,coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,32024818,WGS,Multiple,multiple,pan-cancer_adult,DriverPower,noncoding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,22722201,WES,Gynecologic,breast,breast_cancer,Greenman-based,coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,28551381,WES-Gene Panel,Core gastrointestinal,colorectal,colorectal_adenocarcinoma,Recurrence-based,coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,23539594,Canonical Cancer Driver,Multiple,multiple,,-,,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,26939876,Gene Panel,Gynecologic,breast,triple_negative_breast_cancer,"Recurrence-based, Paper-specific",coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,26806338,WES-Gene Panel,Core gastrointestinal,small_intestine,ampullary_adenocarcinoma,Recurrence-based,coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,26099045,WGS,Gynecologic,breast,breast_cancer,"Recurrence-based, Literature-based",coding,TSG,TSG,TSG,0.0,1.0,cancer
324,APC,26998897,WES,Core gastrointestinal,small_intestine,duodenal_adenocarcinoma,MutSig,coding,TSG,TSG,TSG,0.0,1.0,cancer
330,BIRC3,30606723,WGS,Hematologic and lymphatic,blood,"dlblc, follicular_lymphoma",Paper-specific,noncoding,"oncogene, TSG, fusion",,,0.0,0.0,cancer
330,BIRC3,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,"oncogene, TSG, fusion",,,0.0,0.0,cancer
